UID,Openness,Conscientiousness,Neuroticism,Extraversion,Agreeableness,Age,Gender
3001,12,11,6,10,11,21,M
3002,15,10,10,9,10,21,F
3003,13,8,10,7,6,24,F
3005,9,13,7,8,12,23,M
3007,10,14,13,7,13,21,F
3008,12,10,11,12,7,22,M
3009,15,10,4,6,13,21,M
3010,10,11,6,11,13,22,M
3011,15,15,9,11,7,22,M
3012,14,11,6,6,11,21,M
3013,12,11,12,13,9,27,F
3015,8,10,8,8,10,20,M
3016,12,9,5,12,9,23,M
3017,13,12,8,15,10,19,M
3018,3,6,10,9,7,20,M
3019,12,10,8,8,7,40,M
3021,10,13,7,13,14,24,F
3022,4,9,12,12,7,19,M
3023,10,13,12,13,6,20,M
3024,12,15,11,8,8,23,F
3025,12,12,4,5,7,32,M
3027,8,8,12,6,8,20,M
3028,11,12,7,11,10,19,M
3029,12,11,9,12,10,19,M
3030,9,10,7,12,11,25,M
3041,13,7,5,4,12,27,M
701,11,11,3,4,13,28,M
702,14,5,12,14,5,23,M
703,10,15,8,7,11,26,F
704,12,11,8,6,11,25,M
705,10,11,13,10,6,28,F
707,9,10,7,8,10,21,F
708,10,8,9,9,12,22,F
709,12,12,4,11,9,21,F
710,6,7,9,9,11,27,M
711,10,13,4,8,13,21,F
712,9,12,7,7,12,21,M
713,5,12,3,12,13,30,M
714,12,13,7,9,14,20,M
715,6,12,5,6,11,21,M
716,14,8,6,4,13,25,M
717,15,13,8,14,12,20,M
718,13,12,7,13,12,22,F
719,12,13,3,9,10,20,M
721,11,13,8,7,13,26,M
722,12,5,8,8,8,26,F
723,12,10,10,13,13,20,F
724,13,12,6,9,14,24,F
725,15,11,5,14,15,23,M
726,10,8,9,12,9,24,M
727,13,8,6,11,10,20,M
728,10,9,3,11,14,22,M
729,6,9,8,7,11,22,M
1501,6,14,10,8,10,24,M
1502,7,9,14,9,14,23,M
1503,9,10,9,9,10,21,M
1504,9,14,10,7,12,27,M
1505,8,14,6,13,5,20,F
1506,9,10,13,9,15,25,F
1507,6,12,13,3,8,25,F
1509,11,12,12,7,9,22,M
1511,12,11,7,8,7,20,F
1514,7,12,6,7,11,29,M
1515,7,11,5,14,10,21,F
1516,7,10,9,13,10,24,M
1517,10,13,8,8,15,21,F
1518,12,9,9,12,11,24,M
1519,11,9,6,10,6,30,F
1521,8,12,11,7,12,22,M
1522,11,11,10,8,11,31,M
1523,11,11,9,10,8,23,M
1525,8,12,5,9,11,19,M
1526,6,9,9,4,13,25,M
1527,13,10,6,10,13,21,M
1541,13,7,5,4,12,27,M